trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.4968750406894684}",20,0,-105.88307058127303,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.4937503255004896}",20,0,-1.680959756729242,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.49062609847833927}",25,0,-30.37185641101907,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.25, 'e': 0.48750260351578967}",25,0,-18.050284418720587,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.25, 'e': 0.4843800842769844}",25,0,-118.87398012416047,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.48125878412146483}",25,0,-11.977597149988378,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.47813894602839846}",25,0,-98.44058118372209,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.47502081252106}",25,0,-52.76351464359097,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.47190462559161295}",20,0,-71.78479876819148,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.25, 'e': 0.4687906266262437}",20,7,-48.28266600926556,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.25, 'e': 0.4656790563306954}",30,0,-151.1950265121373,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",1
12,False,"{'a': 0.25, 'e': 0.4625701546562504}",25,0,-5.192854214704884,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.45946416072621066}",20,12,11.928809035320196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.25, 'e': 0.45636131276292113}",25,0,-29.914937553673315,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.45326184801538616}",25,0,-56.31464155662483,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
