trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-290.1646224198465,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,16,-102.07116070534904,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-75.28747537901624,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-206.08615838098336,"{0: 22, 1: 2, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-78.01338834389894,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-157.9459636363711,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-136.06341892041658,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-104.41608467083954,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-134.81371182211768,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-127.78712500001053,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-10.000969021433804,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-120.6514142903098,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-64.06052615447766,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-132.87384856084032,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-153.37620377965015,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,-3.206964369023764,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-168.86276102702055,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-32.08858353334059,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-134.07773308542232,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-186.5562630094967,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-150.08705838122617,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-135.08645518906997,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-243.11711694487246,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,0,-264.6421228105158,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 5}",0
5,True,"{'a': 0, 'e': 0}",20,3,-80.72781198573745,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-195.91380471513818,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",25,0,-151.74058515998362,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",35,0,-128.58775151548662,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,19,6.459000895726154,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-130.83961585336377,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
